observable,n_points,unit,RMSE,R_squared_linear_fit,slope,intercept
energy,1668,eV/atom,0.0003840174746399251,0.9505670345431002,1.0035367348104365,1.3678794993437778e-14
force,2051640,eV/angstrom,0.10608585980908125,0.9810357197466374,0.977617602159526,-6.397180785791324e-05
