DFT_energy_eV_atom,ML_energy_eV_atom
-0.0002734224644882488,-0.0002317802999698415
-0.001081310801566815,-0.001194221441977561
0.001268379326035074,0.0012233243418506845
0.0008344573356282581,0.0010419378128858625
0.0018956337689530756,0.002196134947524797
0.0018736881841903141,0.0018967207547575526
0.0031092244951196335,0.0031001460923789637
0.003583022382827039,0.003500449723674137
-0.00010046523431128662,-6.321952756138671e-05
-0.0009608970325984956,-0.0006201513721180163
-0.004120365228487799,-0.0037436347973596185
-0.0018484081423650878,-0.0015931713209340614
-0.0013807986548783902,-0.0011000961129923326
-0.0005052429672502967,-0.0003632338373336097
-0.0007623539977998917,-0.0008415968744373004
-0.002481219017653302,-0.0025297306724212376
-0.0013633986326340164,-0.0012802079747871176
0.000634853587712314,0.0006185831755658455
0.0011907856599009392,0.001204967274276214
0.00022214798335085106,0.00025083007690795966
-0.0003105760285109227,-0.0003933304031136231
-0.00011552992228303083,-0.0004757069297340877
0.00014024828126935063,-0.0002049518132025696
-0.0007845087784232874,-0.0009103544666118069
0.00019299947823014918,-4.9544768273790396e-05
0.0017242087389206517,0.0014546252540981186
8.036205974804034e-05,-1.7117515483278112e-05
0.001744145658818752,0.001515090531796659
0.0013690440000289072,0.001194227971041073
0.0006417352809648946,0.0006343816047262862
-0.0009587222455138544,-0.001068394583086274
-0.002962649898250902,-0.003031519207183919
-0.0016390651074971174,-0.001705030340161784
-0.0017250662291132812,-0.0018214646700585035
-0.0016999078424362324,-0.0018258399417163673
-0.0013453096976832057,-0.0014060045952248856
-0.0018114633096502075,-0.001969835459362912
-0.0007848582124836412,-0.0008667831805269088
-0.0014585565848221904,-0.001622130455672277
-0.0014126031240380144,-0.0020518700588638694
-0.0016239427446009813,-0.002283933910575797
-0.0004376750377730332,-0.0009241315714234588
-0.0012317395923275853,-0.001984573216617491
-0.0006292137953778365,-0.00143357276107281
0.0002818615121213952,-4.578822188250342e-05
-0.001264280295458775,-0.0014125802959483735
-0.0011237470911567016,-0.0014998089314133267
-0.001626952257566927,-0.0019564863449659242
-0.0027303466920898245,-0.0031050661052631767
-0.00016239994229749755,-0.0008130936425345681
0.00035816861057469396,-0.00012803216449697175
-0.0011686973809901247,-0.0015282912289649175
-0.00031057211273832763,-0.0009214543052280533
