system,group,O_serial_1based,fourfold_fraction,fourth_partner_occupancy,top4_identity_fraction,four_partner_stability_score
CaF2,1,210,0.851,0.94676,0.998491876937158,0.8074649258224118
CaF2,2,458,0.929,0.9808,0.9995927986440195,0.9113804134795864
CaF2,3,460,0.8986,0.96886,0.9997434924022449,0.873474460478442
SiO2,1,120,0.8348,0.8994,0.9882272917538719,0.7419799455546253
SiO2,2,111,0.8698,0.9528,0.9970982952484585,0.8263406654189337
SiO2,3,523,0.8758,0.9604,0.9993277484745061,0.8405528769262591
Oil,1,457,0.6248,0.28444,0.8647018816594877,0.15194165699670825
Oil,2,450,0.106,0.16682,0.8941209136715911,0.015697309076159443
Oil,3,225,0.363,0.55554,0.9415132767167506,0.192722371366422
