system,group,O_serial_1based,time_ps,relative_depth,dx_A,dy_A
SiO2,1,120,0.0,0.23086906614757718,0.0,0.0
SiO2,1,120,0.1,0.22998809814453125,0.02424001693725586,0.07477998733520508
SiO2,1,120,0.2,0.21945712679908388,0.36465001106262207,0.2724599838256836
SiO2,1,120,0.3,0.21516668228876024,0.4728400707244873,0.3073000907897949
SiO2,1,120,0.4,0.21889046260288783,0.34994006156921387,0.7985596656799316
SiO2,1,120,0.5,0.2180643081665039,0.10364007949829102,0.8482198715209961
SiO2,1,120,0.6,0.2121523902529762,0.49398016929626465,0.785059928894043
SiO2,1,120,0.7000000000000001,0.2095690681820824,0.5409901142120361,0.30911970138549805
SiO2,1,120,0.8,0.21122619083949498,0.7657899856567383,0.06654977798461914
SiO2,1,120,0.9,0.20629287901378812,1.1697402000427246,0.2533698081970215
SiO2,1,120,1.0,0.2013380868094308,1.0577402114868164,0.30034971237182617
SiO2,1,120,1.1,0.20013809204101562,1.155400276184082,0.8884897232055664
SiO2,1,120,1.2,0.20057855333600724,0.739609956741333,1.0205097198486328
SiO2,1,120,1.3,0.20353335425967262,0.5651700496673584,1.17441987991333
SiO2,1,120,1.4000000000000001,0.2075356983003162,1.265970230102539,1.1986498832702637
SiO2,1,120,1.5,0.20147854941231863,1.2731399536132812,0.7987298965454102
SiO2,1,120,1.6,0.20606426965622676,1.5098700523376465,0.7685399055480957
SiO2,1,120,1.7,0.21246192568824404,1.4020800590515137,0.6729598045349121
SiO2,1,120,1.8,0.22644524347214473,1.3229198455810547,0.7566099166870117
SiO2,1,120,1.9000000000000001,0.229442868913923,1.0998201370239258,0.8651700019836426
SiO2,1,120,2.0,0.2329785937354678,1.3213400840759277,1.0071196556091309
SiO2,1,120,2.1,0.22657144637334914,1.0830302238464355,0.6141500473022461
SiO2,1,120,2.2,0.2270595459710984,1.087820053100586,0.10478973388671875
SiO2,1,120,2.3000000000000003,0.23139522189185732,1.0503501892089844,-0.22778987884521484
SiO2,1,120,2.4,0.22825954073951357,1.1032600402832031,0.006449699401855469
SiO2,1,120,2.5,0.2263119107200986,1.1526999473571777,-0.036499977111816406
SiO2,1,120,2.6,0.2167381104968843,0.8893799781799316,0.33455991744995117
SiO2,1,120,2.7,0.22079286121186756,0.6980600357055664,0.16554975509643555
SiO2,1,120,2.8000000000000003,0.22423094794863746,0.6496801376342773,-0.24116992950439453
SiO2,1,120,2.9,0.22162619091215588,0.7634899616241455,-0.3004798889160156
SiO2,1,120,3.0,0.21660000937325613,0.6317801475524902,-0.09629011154174805
SiO2,1,120,3.1,0.2143404824393136,0.7867600917816162,0.07612991333007812
SiO2,1,120,3.2,0.22001666114443824,0.6625900268554688,0.2136096954345703
SiO2,1,120,3.3000000000000003,0.2176166716076079,0.9170002937316895,0.15292978286743164
SiO2,1,120,3.4,0.21410474323091053,0.465939998626709,0.18219995498657227
SiO2,1,120,3.5,0.21960712614513578,0.2704501152038574,0.7430601119995117
SiO2,1,120,3.6,0.21836189996628536,0.3249800205230713,0.7004799842834473
SiO2,1,120,3.7,0.2226880845569429,0.47432994842529297,0.6442399024963379
SiO2,1,120,3.8000000000000003,0.22508571261451357,0.3503899574279785,0.8012900352478027
SiO2,1,120,3.9,0.21889046260288783,0.5478501319885254,0.41412973403930664
SiO2,1,120,4.0,0.2013809567406064,1.225679874420166,0.40984010696411133
SiO2,1,120,4.1,0.1995047614687965,1.1940398216247559,0.17216968536376953
SiO2,1,120,4.2,0.20661190577915736,0.29895997047424316,-0.2094101905822754
SiO2,1,120,4.3,0.21197141919817244,-0.018849849700927734,-0.0032501220703125
SiO2,1,120,4.4,0.2207618895031157,0.6131401062011719,0.6311097145080566
SiO2,1,120,4.5,0.2207690647670201,0.6406900882720947,0.2627396583557129
SiO2,1,120,4.6000000000000005,0.21419284457252138,0.8357000350952148,0.0886697769165039
