block,time_min_ps,time_max_ps,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,water_frame_observations,mean_instantaneous_water_count,water_number_density_A-3,water_mass_density_g_cm-3,mean_tetrahedral_q,mean_HB_degree,fraction_degree_eq4,mean_P1_cos_theta,mean_P2
1,0.0,10.0,1,0.0,2.0,52,0.52,0.0015419636682425593,0.04612796070415467,-0.8956485995831801,1.0,0.0,-0.9450804098537369,0.8479886956210166
1,0.0,10.0,2,2.0,4.0,316,3.16,0.009370394599320169,0.2803160688944784,0.25591424073435026,2.3132911392405062,0.0379746835443038,-0.33434141778573084,-0.1503523770351853
1,0.0,10.0,3,4.0,6.0,1252,12.52,0.037125740627686234,1.1106193615692623,0.615833548914412,2.8610223642172525,0.2763578274760383,-0.1537754080777266,-0.1291841089382037
1,0.0,10.0,4,6.0,8.0,951,9.51,0.02820014324035911,0.8436094351855978,0.7393445812411246,3.195583596214511,0.4468980021030494,-0.061911329226293325,-0.09041449108748822
1,0.0,10.0,5,8.0,10.0,1047,10.47,0.03104684539711461,0.9287687472548065,0.7769740823192386,3.40305635148042,0.5176695319961796,-0.038391254804555186,0.21091302511429944
1,0.0,10.0,6,10.0,12.0,1172,11.72,0.03475348883038999,1.0396532681782553,0.8107448175614097,3.4436860068259385,0.5691126279863481,-0.01323436710933445,0.19979238904669389
1,0.0,10.0,7,12.0,14.0,1021,10.21,0.03027586356299333,0.9057047669027293,0.8528686698754201,3.6503428011753183,0.7002938295788442,-0.02458979132104841,-0.09189752790259526
1,0.0,10.0,8,14.0,16.0,1147,11.47,0.03401216014373491,1.0174763639935656,0.8454052678674481,3.6826503923278118,0.7210113339145597,-0.0828971900627691,-0.007333042939279075
1,0.0,10.0,9,16.0,18.0,957,9.57,0.028378062125156332,0.8489318921899235,0.813817499199638,3.5256008359456636,0.6185997910135841,0.0949438674191983,0.2609676066433217
1,0.0,10.0,10,18.0,20.0,1150,11.5,0.03410111958613352,1.0201375924957283,0.7687843287884432,3.4791304347826086,0.54,0.03711807279229423,-0.013895470759379384
1,0.0,10.0,11,20.0,22.0,1098,10.98,0.032559155917890964,0.9740096317915736,0.8050711317517588,3.581967213114754,0.6065573770491803,0.016168815996501135,-0.2766304492247254
1,0.0,10.0,12,22.0,24.0,1057,10.57,0.031343376871776636,0.9376395089286824,0.8008752912876544,3.475875118259224,0.5714285714285714,0.07517075977835824,-0.14652329324709612
1,0.0,10.0,13,24.0,26.0,1152,11.52,0.03416042588106593,1.0219117448305035,0.8100612422260063,3.6137152777777777,0.6449652777777778,-0.015665655943631958,-0.1537960626809195
1,0.0,10.0,14,26.0,28.0,1073,10.73,0.031817827231235885,0.9518327276068838,0.822165436819648,3.680335507921715,0.6067101584342963,0.022078645152288003,-0.048600204999299415
1,0.0,10.0,15,28.0,30.0,1223,12.23,0.03626579935116635,1.0848941527150224,0.8588923120872134,3.7195421095666394,0.7277187244480785,-0.04953320615955391,0.15022853803087943
1,0.0,10.0,16,30.0,32.0,850,8.5,0.025205175346272604,0.7540147422794513,0.9082921482046461,3.804705882352941,0.8129411764705883,0.07326290629929039,-0.16442949319244157
1,0.0,10.0,17,32.0,34.0,1107,11.07,0.032826034245086795,0.981993317298062,0.8868711099304438,3.7895212285456186,0.8048780487804879,-0.012421476866394379,-0.20901694298526258
1,0.0,10.0,18,34.0,36.0,888,8.88,0.02633199494998832,0.7877236366401797,0.8311588565641798,3.6171171171171173,0.6475225225225225,-0.04191328219533016,0.2537349916706675
