block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
31,9,16.0,18.0,9,0.027051692696465346,0.7531201581857881
31,10,18.0,20.0,13,-0.21958181243694797,0.7538626721567344
31,11,20.0,22.0,9,-0.12031361591992076,0.7751944820008266
31,12,22.0,24.0,11,-0.31832694966326486,0.7085544390299339
32,1,0.0,2.0,15,-0.1698249326242939,0.6952966521358205
32,2,2.0,4.0,11,-0.2683885621790287,0.7749069148688764
32,3,4.0,6.0,8,-0.09552159568736594,0.753986192940627
32,4,6.0,8.0,11,-0.09829666397481848,0.7398539189366343
32,5,8.0,10.0,9,-0.12079174355489301,0.7857607323836746
32,6,10.0,12.0,14,-0.016283876347678323,0.7748123366242055
32,7,12.0,14.0,8,-0.0656560193489458,0.7691799771234966
32,8,14.0,16.0,12,0.05433297666206666,0.7557964588084474
32,9,16.0,18.0,9,-0.2853114495403173,0.7815284948638023
32,10,18.0,20.0,13,-0.25269963700668313,0.7781889343483113
32,11,20.0,22.0,9,-0.16717520929832663,0.7571547872844419
32,12,22.0,24.0,11,-0.28112753996123946,0.71517400665754
33,1,0.0,2.0,15,-0.36211174241967087,0.7001736190805079
33,2,2.0,4.0,11,-0.25739727307221444,0.7651508831934218
33,3,4.0,6.0,8,-0.25960183163879164,0.7717540406854888
33,4,6.0,8.0,11,-0.18904128694468167,0.7437736279597502
33,5,8.0,10.0,9,-0.056190792064035856,0.787797349836482
33,6,10.0,12.0,14,-0.026357403643925668,0.7616107249929188
33,7,12.0,14.0,8,-0.19591654197529618,0.7698653726743037
33,8,14.0,16.0,12,-0.1435854951667524,0.7278915622027026
33,9,16.0,18.0,9,-0.058240945425547405,0.765276749471118
33,10,18.0,20.0,13,-0.13553816705669325,0.7295520376755779
33,11,20.0,22.0,9,-0.09830937189411464,0.7465858003476118
33,12,22.0,24.0,11,-0.2400830639879992,0.7481197821069221
34,1,0.0,2.0,15,-0.04324626375281885,0.7009390534089929
34,2,2.0,4.0,11,-0.1253927253300307,0.7458566613085201
34,3,4.0,6.0,8,-0.07372636729049793,0.7801900471287698
34,4,6.0,8.0,11,0.08350936736474877,0.7567894298556466
34,5,8.0,10.0,9,0.09808756926594503,0.7662391134203883
34,6,10.0,12.0,14,-0.026022043307473958,0.7419363470077412
34,7,12.0,14.0,8,0.34221201288525993,0.7450989818787207
34,8,14.0,16.0,12,0.06491737601316636,0.7517648779495396
34,9,16.0,18.0,9,-0.00191443927422823,0.7539012655128069
34,10,18.0,20.0,13,-0.04398220675083603,0.7603626340945195
34,11,20.0,22.0,9,-0.14177837785714884,0.756577998034078
34,12,22.0,24.0,11,-0.3160112078984379,0.6886131948405598
35,1,0.0,2.0,15,-0.23019327828910305,0.7334809218624175
35,2,2.0,4.0,11,-0.1269803578726448,0.7559565355786602
