r_A,pair,ML_g,ML_sem,AIMD_g,AIMD_sem,difference_ML_minus_AIMD
0.47500,O-O,0,0,0,0,0
0.47500,O-H,0,0,0,0,0
0.48500,Si-O,0,0,0,0,0
0.48500,O-O,0,0,0,0,0
0.48500,O-H,0,0,0,0,0
0.49500,Si-O,0,0,0,0,0
0.49500,O-O,0,0,0,0,0
0.49500,O-H,0,0,0,0,0
0.50500,Si-O,0,0,0,0,0
0.50500,O-O,0,0,0,0,0
0.50500,O-H,0,0,0,0,0
0.51500,Si-O,0,0,0,0,0
0.51500,O-O,0,0,0,0,0
0.51500,O-H,0,0,0,0,0
0.52500,Si-O,0,0,0,0,0
0.52500,O-O,0,0,0,0,0
0.52500,O-H,0,0,0,0,0
0.53500,Si-O,0,0,0,0,0
0.53500,O-O,0,0,0,0,0
0.53500,O-H,0,0,0,0,0
0.54500,Si-O,0,0,0,0,0
0.54500,O-O,0,0,0,0,0
0.54500,O-H,0,0,0,0,0
0.55500,Si-O,0,0,0,0,0
0.55500,O-O,0,0,0,0,0
0.55500,O-H,0,0,0,0,0
0.56500,Si-O,0,0,0,0,0
0.56500,O-O,0,0,0,0,0
0.56500,O-H,0,0,0,0,0
0.57500,Si-O,0,0,0,0,0
0.57500,O-O,0,0,0,0,0
0.57500,O-H,0,0,0,0,0
0.58500,Si-O,0,0,0,0,0
0.58500,O-O,0,0,0,0,0
0.58500,O-H,0,0,0,0,0
0.59500,Si-O,0,0,0,0,0
0.59500,O-O,0,0,0,0,0
0.59500,O-H,0,0,0,0,0
0.60500,Si-O,0,0,0,0,0
0.60500,O-O,0,0,0,0,0
0.60500,O-H,0,0,0,0,0
0.61500,Si-O,0,0,0,0,0
0.61500,O-O,0,0,0,0,0
0.61500,O-H,0,0,0,0,0
0.62500,Si-O,0,0,0,0,0
0.62500,O-O,0,0,0,0,0
0.62500,O-H,0,0,0,0,0
0.63500,Si-O,0,0,0,0,0
0.63500,O-O,0,0,0,0,0
0.63500,O-H,0,0,0,0,0
0.64500,Si-O,0,0,0,0,0
0.64500,O-O,0,0,0,0,0
0.64500,O-H,0,0,0,0,0
0.65500,Si-O,0,0,0,0,0
0.65500,O-O,0,0,0,0,0
0.65500,O-H,0,0,0,0,0
0.66500,Si-O,0,0,0,0,0
0.66500,O-O,0,0,0,0,0
0.66500,O-H,0,0,0,0,0
0.67500,Si-O,0,0,0,0,0
0.67500,O-O,0,0,0,0,0
0.67500,O-H,0,0,0,0,0
0.68500,Si-O,0,0,0,0,0
0.68500,O-O,0,0,0,0,0
0.68500,O-H,0,0,0,0,0
0.69500,Si-O,0,0,0,0,0
0.69500,O-O,0,0,0,0,0
0.69500,O-H,0,0,0,0,0
0.70500,Si-O,0,0,0,0,0
0.70500,O-O,0,0,0,0,0
0.70500,O-H,0,0,0,0,0
0.71500,Si-O,0,0,0,0,0
0.71500,O-O,0,0,0,0,0
0.71500,O-H,0,0,0,0,0
0.72500,Si-O,0,0,0,0,0
0.72500,O-O,0,0,0,0,0
0.72500,O-H,0,0,0,0,0
0.73500,Si-O,0,0,0,0,0
