system,group,O_serial_1based,time_ps,relative_depth,dx_A,dy_A
CaF2,1,210,0.0,0.23505905404466584,0.0,0.0
CaF2,1,210,0.1,0.2433892232512994,0.12461042404174805,-0.2315351963043213
CaF2,1,210,0.2,0.23371127393097768,0.349273681640625,-0.4355335235595703
CaF2,1,210,0.3,0.22989489351143727,0.4339876174926758,-0.6042935848236084
CaF2,1,210,0.4,0.233367462542611,0.1085505485534668,-0.5598046779632568
CaF2,1,210,0.5,0.23062519462123987,0.062433719635009766,-0.05928182601928711
CaF2,1,210,0.6,0.2260506364928401,0.21854257583618164,0.4539361000061035
CaF2,1,210,0.7,0.2290099142812047,0.29737424850463867,0.4455265998840332
CaF2,1,210,0.8,0.23282925504754762,0.2682366371154785,0.06125688552856445
CaF2,1,210,0.9,0.22464241596526782,0.4227023124694824,0.06335949897766113
CaF2,1,210,0.9999999999999999,0.22993847639491835,0.35703468322753906,-0.12581896781921387
CaF2,1,210,1.1,0.22993321355615837,0.21823596954345703,-0.41620755195617676
CaF2,1,210,1.2000000000000002,0.22874052272217832,0.44254112243652344,-0.49843573570251465
CaF2,1,210,1.3,0.2460786983213595,0.5024733543395996,-0.3821732997894287
CaF2,1,210,1.4000000000000001,0.24025331143705306,0.6675028800964355,-0.10504150390625
CaF2,1,210,1.5,0.22386557162518167,0.12485933303833008,0.28191471099853516
CaF2,1,210,1.6,0.22462251585620666,-0.042136192321777344,0.15366458892822266
CaF2,1,210,1.7000000000000002,0.2263320339027877,-0.11465930938720703,-0.1500077247619629
CaF2,1,210,1.8,0.2331000445481196,0.0807962417602539,-0.15308618545532227
CaF2,1,210,1.9000000000000001,0.23505477798817337,-0.44595861434936523,-0.06479907035827637
CaF2,1,210,2.0,0.23069352929326398,-0.4664301872253418,0.14313268661499023
CaF2,1,210,2.1,0.2365212186695279,-0.2091813087463379,0.08901596069335938
CaF2,1,210,2.2,0.2312365062359536,-0.2538328170776367,-0.24565529823303223
CaF2,1,210,2.3000000000000003,0.23934086676704183,-0.3423328399658203,-0.31882429122924805
CaF2,1,210,2.4,0.23839544712292512,-0.2035670280456543,-0.39049458503723145
CaF2,1,210,2.5,0.22923161136396877,-0.34058332443237305,0.003738880157470703
CaF2,1,210,2.6,0.22250175629964672,-0.6342840194702148,-0.2099766731262207
CaF2,1,210,2.7,0.22463674196722974,-0.3188791275024414,-0.10861921310424805
CaF2,1,210,2.8000000000000003,0.23396216332248854,0.08832168579101562,-0.19510173797607422
CaF2,1,210,2.9,0.24849754835455884,-0.21072816848754883,-0.05299687385559082
CaF2,1,210,3.0,0.2483836572345187,-0.600684642791748,-0.49171948432922363
CaF2,1,210,3.1,0.22466790784051147,-0.6968555450439453,-0.6338779926300049
CaF2,1,210,3.2,0.22286332976882833,-0.4255671501159668,-0.8360822200775146
CaF2,1,210,3.3000000000000003,0.22034366348063317,-0.3051762580871582,-0.6900503635406494
CaF2,1,210,3.4,0.23230025752031416,-0.27997398376464844,-0.5015213489532471
