system,layer,z_center_A,relative_depth,tetrahedral_q_mean,tetrahedral_q_SEM_50x10ps,P2_mean,P2_SEM_50x10ps,translation_20_300cm-1_cross_to_self_mean,translation_cross_to_self_SEM_50x10ps
CaF2,1,1.0,0.041666666666666664,0.6920237905366352,0.004373291643357862,-0.07663719269852154,0.004379176906243017,-0.20482802867510916,0.014713839255313768
CaF2,2,3.0,0.125,0.8664146669303111,0.0014577459354478445,0.11711438215555962,0.009984597840338942,-0.15412727129202217,0.012700703234161878
CaF2,3,5.0,0.20833333333333334,0.8738108670818932,0.0017930081168468714,-0.04623630192735325,0.00609669431340355,-0.1324141028440307,0.01193131514078702
CaF2,4,7.0,0.2916666666666667,0.8527557311892829,0.004730976607104105,-0.006432862247434074,0.004561934551607348,-0.012811947105755339,0.017101727626123154
CaF2,5,9.0,0.375,0.8670944455707814,0.0032876689322943694,-0.09461366922556216,0.0047793717769353,-0.041594471942942066,0.015043065331205271
CaF2,6,11.0,0.4583333333333333,0.862427869492758,0.0028521523772635426,0.02630952300353825,0.006437401958697265,-0.016763801642192547,0.021175766921141488
CaF2,7,13.0,0.5416666666666666,0.8790531993505908,0.004189052185000423,-0.011226789725413607,0.009284784222648945,-0.011328358092578228,0.016619594717198597
CaF2,8,15.0,0.625,0.866281289506816,0.004549022436549439,0.0023507452392400492,0.0047348970687377725,-0.05721389036082993,0.015752506164408344
CaF2,9,17.0,0.7083333333333334,0.8415535107601215,0.003729858827726751,0.21965754385188802,0.009079643704086034,-0.05476088897236862,0.014784973000674599
CaF2,10,19.0,0.7916666666666666,0.8632991489615446,0.0019535604097507086,-0.0372471928085821,0.010780097757771218,-0.09872404967320297,0.013543240649746099
CaF2,11,21.0,0.875,0.7985252469645856,0.004402233615799653,-0.21310065565281555,0.009631585054086005,-0.08769248340878048,0.012769631228671485
CaF2,12,23.0,0.9583333333333334,0.4293052458049669,0.005289411052867897,-0.11960065142839531,0.011986800332902503,-0.19135423181948244,0.01538808769955261
Oil,1,1.0,0.041666666666666664,0.4994086490553918,0.013042663574710489,0.03147668522461266,0.018769638670871558,0.034761849697322045,0.018812171315587635
Oil,2,3.0,0.125,0.8246101071315625,0.0031423260402234825,-0.013483865502448358,0.009823105125684645,0.0994891183167228,0.017677163288981782
Oil,3,5.0,0.20833333333333334,0.8320224496226888,0.0022103624931280913,-0.3084115927464307,0.0020642971326909738,0.06687071241353633,0.012791662328762443
Oil,4,7.0,0.2916666666666667,0.8396135507173867,0.0015727351684227495,-0.244854805988009,0.00335376683192364,0.05253105714925203,0.014950186342116622
Oil,5,9.0,0.375,0.8280313329575332,0.002364939627682981,0.05614818244059925,0.009471579249108042,0.08012849998952275,0.020847406529034336
Oil,6,11.0,0.4583333333333333,0.8216024095999895,0.0011830164572344322,-0.05036096210606595,0.0032015054464614922,0.15129233520006177,0.020558855587863568
