layer,depth_min_A,depth_max_A,n_waters,plotted_wavenumber_cm-1,calculated_wavenumber_cm-1,normalized_VDOS
1,0.0,4.0,26,1200.1711066852454,1200.1711066852454,0.055517707607814895
1,0.0,4.0,26,1200.6800851019907,1200.6800851019907,0.055569463220514384
1,0.0,4.0,26,1201.1890635187358,1201.1890635187358,0.05560926361438972
1,0.0,4.0,26,1201.6980419354811,1201.6980419354811,0.05562606839181899
1,0.0,4.0,26,1202.2070203522264,1202.2070203522264,0.05561530307157367
1,0.0,4.0,26,1202.7159987689715,1202.7159987689715,0.05557985291751268
1,0.0,4.0,26,1203.2249771857169,1203.2249771857169,0.05552926415188342
1,0.0,4.0,26,1203.733955602462,1203.733955602462,0.055477226801167984
1,0.0,4.0,26,1204.2429340192073,1204.2429340192073,0.05543786800019616
1,0.0,4.0,26,1204.7519124359526,1204.7519124359526,0.05542172731692405
1,0.0,4.0,26,1205.2608908526977,1205.2608908526977,0.05543241348623009
1,0.0,4.0,26,1205.769869269443,1205.769869269443,0.05546481062443048
1,0.0,4.0,26,1206.278847686188,1206.278847686188,0.055505341453397306
1,0.0,4.0,26,1206.7878261029334,1206.7878261029334,0.055534300792604296
1,0.0,4.0,26,1207.2968045196785,1207.2968045196785,0.05552977570261949
1,0.0,4.0,26,1207.8057829364238,1207.8057829364238,0.055472295452194384
1,0.0,4.0,26,1208.3147613531692,1208.3147613531692,0.05534919030674199
1,0.0,4.0,26,1208.8237397699143,1208.8237397699143,0.05515770835659495
1,0.0,4.0,26,1209.3327181866596,1209.3327181866596,0.05490621177866873
1,0.0,4.0,26,1209.8416966034047,1209.8416966034047,0.05461317631768208
1,0.0,4.0,26,1210.35067502015,1210.35067502015,0.05430416319731101
1,0.0,4.0,26,1210.8596534368953,1210.8596534368953,0.05400733740286161
1,0.0,4.0,26,1211.3686318536404,1211.3686318536404,0.05374839990024344
1,0.0,4.0,26,1211.8776102703857,1211.8776102703857,0.05354593071949926
1,0.0,4.0,26,1212.3865886871308,1212.3865886871308,0.05340807367105665
1,0.0,4.0,26,1212.8955671038761,1212.8955671038761,0.053331231480341204
1,0.0,4.0,26,1213.4045455206212,1213.4045455206212,0.053301023389123174
1,0.0,4.0,26,1213.9135239373666,1213.9135239373666,0.053295271000831014
1,0.0,4.0,26,1214.4225023541119,1214.4225023541119,0.05328833818426932
1,0.0,4.0,26,1214.931480770857,1214.931480770857,0.05325587255991804
1,0.0,4.0,26,1215.4404591876023,1215.4404591876023,0.053178955293810844
1,0.0,4.0,26,1215.9494376043474,1215.9494376043474,0.0530468689345429
1,0.0,4.0,26,1216.4584160210927,1216.4584160210927,0.052858071533104296
1,0.0,4.0,26,1216.967394437838,1216.967394437838,0.05261940099964807
1,0.0,4.0,26,1217.4763728545831,1217.4763728545831,0.05234390301670381
1,0.0,4.0,26,1217.9853512713285,1217.9853512713285,0.052047894399545984
1,0.0,4.0,26,1218.4943296880735,1218.4943296880735,0.05174791999004984
1,0.0,4.0,26,1219.0033081048189,1219.0033081048189,0.05145816998689248
1,0.0,4.0,26,1219.512286521564,1219.512286521564,0.05118875784108229
1,0.0,4.0,26,1220.0212649383093,1220.0212649383093,0.05094507023281734
1,0.0,4.0,26,1220.5302433550546,1220.5302433550546,0.05072821564422751
1,0.0,4.0,26,1221.0392217717997,1221.0392217717997,0.050536417616326865
1,0.0,4.0,26,1221.548200188545,1221.548200188545,0.0503670215356625
1,0.0,4.0,26,1222.0571786052901,1222.0571786052901,0.05021862931025195
1,0.0,4.0,26,1222.5661570220354,1222.5661570220354,0.05009279173375719
1,0.0,4.0,26,1223.0751354387808,1223.0751354387808,0.049994730829995324
1,0.0,4.0,26,1223.5841138555259,1223.5841138555259,0.049932766978375495
1,0.0,4.0,26,1224.0930922722712,1224.0930922722712,0.04991646551300005
1,0.0,4.0,26,1224.6020706890163,1224.6020706890163,0.04995390778251244
1,0.0,4.0,26,1225.1110491057616,1225.1110491057616,0.05004880429031476
1,0.0,4.0,26,1225.6200275225067,1225.6200275225067,0.05019828155042404
1,0.0,4.0,26,1226.129005939252,1226.129005939252,0.05039202824624366
1,0.0,4.0,26,1226.6379843559973,1226.6379843559973,0.05061311044205394
1,0.0,4.0,26,1227.1469627727424,1227.1469627727424,0.050840277759068374
1,0.0,4.0,26,1227.6559411894877,1227.6559411894877,0.05105114703397333
1,0.0,4.0,26,1228.1649196062328,1228.1649196062328,0.05122541659514382
1,0.0,4.0,26,1228.6738980229782,1228.6738980229782,0.05134731045188286
1,0.0,4.0,26,1229.1828764397235,1229.1828764397235,0.05140675333378858
1,0.0,4.0,26,1229.6918548564686,1229.6918548564686,0.051399218768081574
1,0.0,4.0,26,1230.200833273214,1230.200833273214,0.05132461046644897
1,0.0,4.0,26,1230.709811689959,1230.709811689959,0.051185784585921844
1,0.0,4.0,26,1231.2187901067043,1231.2187901067043,0.050987319415832066
1,0.0,4.0,26,1231.7277685234496,1231.7277685234496,0.05073490924344781
1,0.0,4.0,26,1232.2367469401947,1232.2367469401947,0.05043540631908225
1,0.0,4.0,26,1232.74572535694,1232.74572535694,0.05009720742886678
1,0.0,4.0,26,1233.2547037736852,1233.2547037736852,0.04973051189696927
1,0.0,4.0,26,1233.7636821904305,1233.7636821904305,0.049347030903556285
1,0.0,4.0,26,1234.2726606071756,1234.2726606071756,0.04895897775153052
1,0.0,4.0,26,1234.781639023921,1234.781639023921,0.048577510164027206
1,0.0,4.0,26,1235.2906174406662,1235.2906174406662,0.048211087608518347
1,0.0,4.0,26,1235.7995958574113,1235.7995958574113,0.04786432735795068
1,0.0,4.0,26,1236.3085742741566,1236.3085742741566,0.047537837445855075
1,0.0,4.0,26,1236.8175526909017,1236.8175526909017,0.047229204735971315
1,0.0,4.0,26,1237.326531107647,1237.326531107647,0.04693492769480355
1,0.0,4.0,26,1237.8355095243924,1237.8355095243924,0.04665274527662544
1,0.0,4.0,26,1238.3444879411375,1238.3444879411375,0.04638364695797956
1,0.0,4.0,26,1238.8534663578828,1238.8534663578828,0.04613291507909441
1,0.0,4.0,26,1239.3624447746279,1239.3624447746279,0.04590982964996636
1,0.0,4.0,26,1239.8714231913732,1239.8714231913732,0.0457260667419262
1,0.0,4.0,26,1240.3804016081183,1240.3804016081183,0.04559321492712542
1,0.0,4.0,26,1240.8893800248636,1240.8893800248636,0.045520095513764805
