system,group,O_serial_1based,time_ps,hbond_degree,fourfold_indicator
CaF2,1,210,14.0,4.0,1.0
CaF2,1,210,14.100000000000001,3.0,0.0
CaF2,1,210,14.200000000000001,4.0,1.0
CaF2,1,210,14.3,4.0,1.0
CaF2,1,210,14.4,4.0,1.0
CaF2,1,210,14.5,4.0,1.0
CaF2,1,210,14.600000000000001,4.0,1.0
CaF2,1,210,14.700000000000001,4.0,1.0
CaF2,1,210,14.8,4.0,1.0
CaF2,1,210,14.9,4.0,1.0
CaF2,1,210,15.0,4.0,1.0
CaF2,1,210,15.100000000000001,3.0,0.0
CaF2,1,210,15.200000000000001,4.0,1.0
CaF2,1,210,15.3,4.0,1.0
CaF2,1,210,15.4,4.0,1.0
CaF2,1,210,15.5,4.0,1.0
CaF2,1,210,15.600000000000001,4.0,1.0
CaF2,1,210,15.700000000000001,4.0,1.0
CaF2,1,210,15.8,4.0,1.0
CaF2,1,210,15.9,4.0,1.0
CaF2,1,210,16.0,4.0,1.0
CaF2,1,210,16.099999999999998,4.0,1.0
CaF2,1,210,16.2,4.0,1.0
CaF2,1,210,16.299999999999997,4.0,1.0
CaF2,1,210,16.4,3.0,0.0
CaF2,1,210,16.5,4.0,1.0
CaF2,1,210,16.599999999999998,3.0,0.0
CaF2,1,210,16.7,3.0,0.0
CaF2,1,210,16.799999999999997,4.0,1.0
CaF2,1,210,16.9,4.0,1.0
CaF2,1,210,17.0,4.0,1.0
CaF2,1,210,17.099999999999998,4.0,1.0
CaF2,1,210,17.2,3.0,0.0
CaF2,1,210,17.299999999999997,4.0,1.0
CaF2,1,210,17.4,4.0,1.0
CaF2,1,210,17.5,4.0,1.0
CaF2,1,210,17.599999999999998,4.0,1.0
CaF2,1,210,17.7,2.0,0.0
CaF2,1,210,17.799999999999997,4.0,1.0
CaF2,1,210,17.9,4.0,1.0
CaF2,1,210,18.0,4.0,1.0
CaF2,1,210,18.099999999999998,4.0,1.0
CaF2,1,210,18.2,4.0,1.0
CaF2,1,210,18.299999999999997,4.0,1.0
CaF2,1,210,18.4,4.0,1.0
CaF2,1,210,18.5,4.0,1.0
CaF2,1,210,18.599999999999998,4.0,1.0
CaF2,1,210,18.7,3.0,0.0
CaF2,1,210,18.799999999999997,3.0,0.0
CaF2,1,210,18.9,4.0,1.0
CaF2,1,210,19.0,4.0,1.0
CaF2,1,210,19.099999999999998,4.0,1.0
CaF2,1,210,19.2,4.0,1.0
CaF2,1,210,19.299999999999997,4.0,1.0
CaF2,1,210,19.4,4.0,1.0
CaF2,1,210,19.5,4.0,1.0
CaF2,1,210,19.599999999999998,4.0,1.0
CaF2,1,210,19.7,4.0,1.0
CaF2,1,210,19.799999999999997,4.0,1.0
CaF2,1,210,19.9,4.0,1.0
CaF2,1,210,20.0,4.0,1.0
CaF2,1,210,20.099999999999998,4.0,1.0
CaF2,1,210,20.2,4.0,1.0
CaF2,1,210,20.299999999999997,4.0,1.0
CaF2,1,210,20.4,3.0,0.0
CaF2,1,210,20.5,4.0,1.0
CaF2,1,210,20.599999999999998,4.0,1.0
CaF2,1,210,20.7,4.0,1.0
CaF2,1,210,20.799999999999997,4.0,1.0
CaF2,1,210,20.9,4.0,1.0
CaF2,1,210,21.0,4.0,1.0
CaF2,1,210,21.099999999999998,4.0,1.0
CaF2,1,210,21.2,4.0,1.0
CaF2,1,210,21.299999999999997,4.0,1.0
CaF2,1,210,21.4,3.0,0.0
CaF2,1,210,21.5,3.0,0.0
CaF2,1,210,21.599999999999998,4.0,1.0
CaF2,1,210,21.7,4.0,1.0
CaF2,1,210,21.799999999999997,4.0,1.0
CaF2,1,210,21.9,4.0,1.0
CaF2,1,210,22.0,4.0,1.0
CaF2,1,210,22.099999999999998,4.0,1.0
CaF2,1,210,22.2,4.0,1.0
CaF2,1,210,22.299999999999997,4.0,1.0
CaF2,1,210,22.4,4.0,1.0
CaF2,1,210,22.5,4.0,1.0
CaF2,1,210,22.599999999999998,4.0,1.0
CaF2,1,210,22.7,4.0,1.0
CaF2,1,210,22.799999999999997,4.0,1.0
CaF2,1,210,22.9,4.0,1.0
CaF2,1,210,23.0,4.0,1.0
CaF2,1,210,23.099999999999998,4.0,1.0
CaF2,1,210,23.2,4.0,1.0
CaF2,1,210,23.299999999999997,4.0,1.0
CaF2,1,210,23.4,4.0,1.0
CaF2,1,210,23.5,4.0,1.0
CaF2,1,210,23.599999999999998,4.0,1.0
CaF2,1,210,23.7,4.0,1.0
CaF2,1,210,23.799999999999997,4.0,1.0
CaF2,1,210,23.9,4.0,1.0
CaF2,1,210,24.0,4.0,1.0
CaF2,1,210,24.099999999999998,3.0,0.0
CaF2,1,210,24.2,4.0,1.0
