system,group,O_serial_1based,time_ps,relative_depth,dipole_angle_to_z_degree,hbond_degree,fourfold_indicator
CaF2,1,210,0.0,0.23505905404466584,52.07859815941327,4.0,1.0
CaF2,1,210,0.1,0.2433892232512994,69.69156630425339,4.0,1.0
CaF2,1,210,0.2,0.23371127393097768,58.54528633125501,4.0,1.0
CaF2,1,210,0.3,0.22989489351143727,48.90919345983712,4.0,1.0
CaF2,1,210,0.4,0.233367462542611,50.19981766759413,2.0,0.0
CaF2,1,210,0.5,0.23062519462123987,53.929540202119256,4.0,1.0
CaF2,1,210,0.6,0.2260506364928401,71.58405829593893,4.0,1.0
CaF2,1,210,0.7,0.2290099142812047,68.50047798465435,4.0,1.0
CaF2,1,210,0.8,0.23282925504754762,71.02708065553887,4.0,1.0
CaF2,1,210,0.9,0.22464241596526782,68.6380166472711,4.0,1.0
CaF2,1,210,0.9999999999999999,0.22993847639491835,77.26020278626109,4.0,1.0
CaF2,1,210,1.1,0.22993321355615837,62.00997057161929,4.0,1.0
CaF2,1,210,1.2000000000000002,0.22874052272217832,55.544844000050084,4.0,1.0
CaF2,1,210,1.3,0.2460786983213595,56.29696641646008,4.0,1.0
CaF2,1,210,1.4000000000000001,0.24025331143705306,54.843175815702935,4.0,1.0
CaF2,1,210,1.5,0.22386557162518167,71.37196385810671,4.0,1.0
CaF2,1,210,1.6,0.22462251585620666,74.36399694693377,4.0,1.0
CaF2,1,210,1.7000000000000002,0.2263320339027877,56.95963754211052,3.0,0.0
CaF2,1,210,1.8,0.2331000445481196,58.9102476075772,4.0,1.0
CaF2,1,210,1.9000000000000001,0.23505477798817337,64.7099867320118,3.0,0.0
CaF2,1,210,2.0,0.23069352929326398,68.5772064986176,4.0,1.0
CaF2,1,210,2.1,0.2365212186695279,66.49373260171289,4.0,1.0
CaF2,1,210,2.2,0.2312365062359536,60.0002301030866,4.0,1.0
CaF2,1,210,2.3000000000000003,0.23934086676704183,49.67528575337035,3.0,0.0
CaF2,1,210,2.4,0.23839544712292512,71.92158746367531,4.0,1.0
CaF2,1,210,2.5,0.22923161136396877,64.6243781965164,4.0,1.0
CaF2,1,210,2.6,0.22250175629964672,70.869522657753,4.0,1.0
CaF2,1,210,2.7,0.22463674196722974,57.373048108221425,4.0,1.0
CaF2,1,210,2.8000000000000003,0.23396216332248854,68.0586412960587,4.0,1.0
CaF2,1,210,2.9,0.24849754835455884,68.75917984828332,4.0,1.0
CaF2,1,210,3.0,0.2483836572345187,73.31600164105888,4.0,1.0
CaF2,1,210,3.1,0.22466790784051147,57.59715575863763,3.0,0.0
CaF2,1,210,3.2,0.22286332976882833,60.657626133415356,4.0,1.0
CaF2,1,210,3.3000000000000003,0.22034366348063317,59.5886218759656,4.0,1.0
CaF2,1,210,3.4,0.23230025752031416,56.18864230091859,3.0,0.0
CaF2,1,210,3.5,0.2268432693492062,68.1158981872199,4.0,1.0
CaF2,1,210,3.6,0.22376903142667834,68.32894298764231,4.0,1.0
CaF2,1,210,3.7,0.2255527226070328,68.98119131804347,4.0,1.0
CaF2,1,210,3.8000000000000003,0.22547139530182,61.836818997143034,4.0,1.0
CaF2,1,210,3.9,0.22858814709370584,71.12370632091651,4.0,1.0
CaF2,1,210,4.0,0.21976532684002495,60.35823936906598,4.0,1.0
CaF2,1,210,4.1,0.22025592209068165,54.1449853754381,4.0,1.0
CaF2,1,210,4.199999999999999,0.22342061505439664,73.18240533169293,3.0,0.0
CaF2,1,210,4.3,0.2247586918091211,59.59259375802531,3.0,0.0
CaF2,1,210,4.3999999999999995,0.22763565551000542,62.74282943214549,4.0,1.0
CaF2,1,210,4.5,0.23282382774507637,57.86970333623385,4.0,1.0
CaF2,1,210,4.6,0.24046974568105714,52.60725068391109,4.0,1.0
CaF2,1,210,4.699999999999999,0.23578746382178908,65.92467394104166,4.0,1.0
CaF2,1,210,4.8,0.21896808899974388,66.38576432942422,4.0,1.0
CaF2,1,210,4.8999999999999995,0.2308540458754433,66.94224370457663,4.0,1.0
CaF2,1,210,5.0,0.24367062066124698,53.46796278258604,4.0,1.0
CaF2,1,210,5.1,0.2331326905948026,68.65146297521521,4.0,1.0
CaF2,1,210,5.199999999999999,0.22817188944053382,72.23011494127793,4.0,1.0
CaF2,1,210,5.3,0.21364069823310036,58.213882092337684,4.0,1.0
CaF2,1,210,5.3999999999999995,0.2198628538207958,68.51767875621698,4.0,1.0
CaF2,1,210,5.5,0.22434662798058594,74.90984176231791,4.0,1.0
CaF2,1,210,5.6,0.2397959378560687,57.35191611526857,3.0,0.0
CaF2,1,210,5.699999999999999,0.24603898033509278,52.65054205724138,3.0,0.0
CaF2,1,210,5.8,0.23256068580707748,71.46374465708408,4.0,1.0
CaF2,1,210,5.8999999999999995,0.2353639697653221,62.44692998420023,3.0,0.0
CaF2,1,210,6.0,0.23342354466814702,59.320991283260845,4.0,1.0
CaF2,1,210,6.1,0.22393053479112515,62.75278614300339,4.0,1.0
CaF2,1,210,6.199999999999999,0.2087943638218611,54.16408585739871,4.0,1.0
CaF2,1,210,6.3,0.2069755596391549,53.28531690000129,4.0,1.0
CaF2,1,210,6.3999999999999995,0.2243884839950989,54.015608661149486,4.0,1.0
CaF2,1,210,6.5,0.22820535780577306,63.96435457121957,4.0,1.0
CaF2,1,210,6.6,0.22903269250521274,52.51021363493569,3.0,0.0
CaF2,1,210,6.699999999999999,0.23283698484197632,58.13053410409702,4.0,1.0
CaF2,1,210,6.8,0.22866560950170425,55.04506335809025,4.0,1.0
CaF2,1,210,6.8999999999999995,0.22462243362435103,64.50578182906669,4.0,1.0
CaF2,1,210,7.0,0.2326391349973434,65.5746972630255,4.0,1.0
CaF2,1,210,7.1,0.23151691686363368,64.81309176970504,4.0,1.0
CaF2,1,210,7.199999999999999,0.22329118211364343,72.16857792950046,4.0,1.0
CaF2,1,210,7.3,0.21714714678879143,69.96871951869747,4.0,1.0
CaF2,1,210,7.3999999999999995,0.2229981900120528,58.84120117487689,4.0,1.0
CaF2,1,210,7.5,0.22168979895720883,63.370149756691305,4.0,1.0
CaF2,1,210,7.6,0.22339306738276238,54.550885297464454,4.0,1.0
CaF2,1,210,7.699999999999999,0.2239400736863776,60.009130007872145,3.0,0.0
CaF2,1,210,7.8,0.22017697950928197,54.51589820111095,4.0,1.0
CaF2,1,210,7.8999999999999995,0.21828630468475982,73.32319911457458,4.0,1.0
CaF2,1,210,7.999999999999999,0.22040558406791855,48.02649474614688,4.0,1.0
CaF2,1,210,8.100000000000001,0.21375302694788365,39.07766015063681,4.0,1.0
CaF2,1,210,8.200000000000001,0.22971266771937304,46.32716669239044,2.0,0.0
CaF2,1,210,8.3,0.2382799935976281,54.58924333713952,4.0,1.0
CaF2,1,210,8.4,0.2358582654494819,55.68073982657865,4.0,1.0
CaF2,1,210,8.5,0.21665589368328972,60.95227402843913,4.0,1.0
CaF2,1,210,8.600000000000001,0.19483965903828432,64.61422610861696,4.0,1.0
CaF2,1,210,8.700000000000001,0.21331580017152735,66.84706779175121,4.0,1.0
CaF2,1,210,8.8,0.22264467526472237,61.424561765172236,4.0,1.0
CaF2,1,210,8.9,0.21527472743621795,55.547977545698096,4.0,1.0
CaF2,1,210,9.0,0.22024580757243983,60.4508528009025,4.0,1.0
CaF2,1,210,9.100000000000001,0.2243741756522202,52.585527058957744,4.0,1.0
CaF2,1,210,9.200000000000001,0.21834510046153147,48.471615810515885,4.0,1.0
CaF2,1,210,9.3,0.22501155476516693,53.18222532413807,4.0,1.0
CaF2,1,210,9.4,0.24283243135686483,45.07987534294104,3.0,0.0
CaF2,1,210,9.5,0.24482055093030222,41.943434364916236,3.0,0.0
CaF2,1,210,9.600000000000001,0.224751702101393,41.264248856231845,3.0,0.0
