system,hexane_index,block_index,start_time_ps,end_time_ps,n_frames,z_mean_A,z_rms_A,z_msd_from_initial_A2,z_displacement_from_initial_A
oil,1,26,250.000000,259.900000,100,5.07002083,0.66056531,12.42139584,3.46194300
oil,1,27,260.000000,269.900000,100,5.68607956,0.43748842,16.82149421,4.07800173
oil,1,28,270.000000,279.900000,100,5.99549486,0.30916642,19.34501209,4.38741703
oil,1,29,280.000000,289.900000,100,5.75985098,0.41314895,17.40791236,4.15177315
oil,1,30,290.000000,299.900000,100,5.50251529,0.58344473,15.50705089,3.89443746
oil,1,31,300.000000,309.900000,100,5.92136738,0.31129546,18.70137162,4.31328955
oil,1,32,310.000000,319.900000,100,5.98386670,0.30267705,19.23914160,4.37578887
oil,1,33,320.000000,329.900000,100,5.85365912,0.35543212,18.15129246,4.24558129
oil,1,34,330.000000,339.900000,100,5.46568919,0.50822362,15.13945662,3.85761136
oil,1,35,340.000000,349.900000,100,5.80181362,0.50387194,17.84130681,4.19373579
oil,1,36,350.000000,359.900000,100,5.97163412,0.47534240,19.26657388,4.36355629
oil,1,37,360.000000,369.900000,100,5.91163463,0.46794885,18.73957724,4.30355680
oil,1,38,370.000000,379.900000,100,6.12276231,0.48621524,20.61878119,4.51468448
oil,1,39,380.000000,389.900000,100,6.30711222,0.29535225,22.16815716,4.69903439
oil,1,40,390.000000,399.900000,100,5.80891291,0.75777759,18.22124227,4.20083508
oil,1,41,400.000000,409.900000,100,6.02071581,0.56039748,19.78541927,4.41263798
oil,1,42,410.000000,419.900000,100,6.27205920,0.35009982,21.87529210,4.66398137
oil,1,43,420.000000,429.900000,100,6.26629893,0.32010103,21.80148847,4.65822110
oil,1,44,430.000000,439.900000,100,6.08032826,0.51435647,20.26558651,4.47225043
oil,1,45,440.000000,449.900000,100,5.55495146,0.98660700,16.55120480,3.94687363
oil,1,46,450.000000,459.900000,100,5.70585104,0.51664827,17.05867068,4.09777321
oil,1,47,460.000000,469.900000,100,5.74276586,0.43822621,17.28768730,4.13468803
oil,1,48,470.000000,479.900000,100,6.22944901,0.33935218,21.47223151,4.62137118
oil,1,49,480.000000,489.900000,100,6.11931432,0.34285750,20.46880592,4.51123649
oil,1,50,490.000000,499.900000,100,5.83258276,0.70303025,18.34069342,4.22450493
oil,2,1,0.000000,9.900000,100,5.12151662,0.58362978,0.36348854,0.15121119
oil,2,2,10.000000,19.900000,100,3.90938492,1.00999783,2.14564795,-1.06092051
oil,2,3,20.000000,29.900000,100,3.52358141,0.46440590,2.30868324,-1.44672402
oil,2,4,30.000000,39.900000,100,4.59540441,0.57731181,0.47383971,-0.37490102
oil,2,5,40.000000,49.900000,100,4.32271463,0.75163202,0.98432454,-0.64759080
oil,2,6,50.000000,59.900000,100,4.38543458,0.41210254,0.51190241,-0.58487085
oil,2,7,60.000000,69.900000,100,4.29220256,0.52532399,0.73578880,-0.67810287
oil,2,8,70.000000,79.900000,100,4.22806447,0.38313303,0.69771255,-0.74224096
oil,2,9,80.000000,89.900000,100,4.60123123,0.34257713,0.25357486,-0.36907420
oil,2,10,90.000000,99.900000,100,3.53726411,0.41717519,2.22764257,-1.43304132
oil,2,11,100.000000,109.900000,100,3.33040211,0.29517023,2.77640836,-1.63990332
oil,2,12,110.000000,119.900000,100,3.28432318,0.63903083,3.25089655,-1.68598225
oil,2,13,120.000000,129.900000,100,3.17222969,0.31902403,3.33485270,-1.79807574
oil,2,14,130.000000,139.900000,100,2.56279852,0.69728513,6.28229609,-2.40750691
oil,2,15,140.000000,149.900000,100,3.48641962,0.68177770,2.66673794,-1.48388581
oil,2,16,150.000000,159.900000,100,1.85755270,1.33825968,11.48016853,-3.11275273
oil,2,17,160.000000,169.900000,100,1.56805969,0.90985638,12.40311468,-3.40224574
oil,2,18,170.000000,179.900000,100,3.07542210,0.45910581,3.80136099,-1.89488333
oil,2,19,180.000000,189.900000,100,1.80731138,2.40372230,15.78241226,-3.16299405
oil,2,20,190.000000,199.900000,100,-3.83600162,0.69249534,78.03059368,-8.80630705
oil,2,21,200.000000,209.900000,100,-4.26029303,0.47302236,85.42769805,-9.23059846
oil,2,22,210.000000,219.900000,100,-4.17108688,0.51723717,83.83258767,-9.14139231
oil,2,23,220.000000,229.900000,100,-3.69104244,0.52967580,75.29950339,-8.66134787
oil,2,24,230.000000,239.900000,100,-3.91262491,0.44516808,79.10462605,-8.88293034
oil,2,25,240.000000,249.900000,100,-4.13240926,0.50315084,83.11257546,-9.10271469
oil,2,26,250.000000,259.900000,100,-4.62571968,0.50706565,92.34081339,-9.59602511
oil,2,27,260.000000,269.900000,100,-4.46984453,0.41447846,89.28822359,-9.44014996
oil,2,28,270.000000,279.900000,100,-4.56635494,0.39510904,91.10400210,-9.53666037
oil,2,29,280.000000,289.900000,100,-4.20202190,0.66547037,84.57443952,-9.17232733
oil,2,30,290.000000,299.900000,100,-4.30428275,0.51402496,86.28220753,-9.27458818
oil,2,31,300.000000,309.900000,100,-3.78604810,0.62687402,77.06669815,-8.75635353
oil,2,32,310.000000,319.900000,100,-4.76981292,0.49263230,95.11259199,-9.74011835
oil,2,33,320.000000,329.900000,100,-4.41345374,0.41708420,88.22889532,-9.38375917
oil,2,34,330.000000,339.900000,100,-3.94709739,0.95121818,80.42488901,-8.91740282
oil,2,35,340.000000,349.900000,100,-4.88389107,0.42250397,97.28369834,-9.85419650
oil,2,36,350.000000,359.900000,100,-4.93349799,0.32770411,98.19271214,-9.90380342
oil,2,37,360.000000,369.900000,100,-5.01813777,0.33938757,99.88418151,-9.98844320
oil,2,38,370.000000,379.900000,100,-4.58677016,0.50138023,91.58907597,-9.55707559
oil,2,39,380.000000,389.900000,100,-4.22235321,0.39052665,84.65748397,-9.19265864
oil,2,40,390.000000,399.900000,100,-5.07821048,0.36807819,101.10815363,-10.04851591
oil,2,41,400.000000,409.900000,100,-4.96069021,0.45062402,98.82773632,-9.93099564
oil,2,42,410.000000,419.900000,100,-4.68472403,0.50832133,93.47798440,-9.65502946
oil,2,43,420.000000,429.900000,100,-5.06583292,0.35708446,100.85158232,-10.03613835
oil,2,44,430.000000,439.900000,100,-5.34195631,0.38569642,106.49150402,-10.31226174
oil,2,45,440.000000,449.900000,100,-4.72741675,0.65318547,94.47246671,-9.69772218
oil,2,46,450.000000,459.900000,100,-4.60643200,0.49005667,91.95405537,-9.57673743
oil,2,47,460.000000,469.900000,100,-4.44988753,0.56168259,89.05552279,-9.42019296
oil,2,48,470.000000,479.900000,100,-4.99552635,0.35629953,99.44475248,-9.96583178
oil,2,49,480.000000,489.900000,100,-4.82421270,0.50055386,96.18313952,-9.79451813
oil,2,50,490.000000,499.900000,100,-4.95371597,0.43832917,98.67833327,-9.92402140
