system,hexane_index,time_ps,com_z_unwrapped_A,z_msd_from_initial_A2
CaF2,1,11.500000,8.24748585,0.00550253
CaF2,1,11.600000,8.13402419,0.03520902
CaF2,1,11.700000,8.12078021,0.04035465
CaF2,1,11.800000,8.21818790,0.01070748
CaF2,1,11.900000,8.32567520,0.00001608
CaF2,1,12.000000,8.36625484,0.00198827
CaF2,1,12.100000,8.34930329,0.00076388
CaF2,1,12.200000,8.23086045,0.00824544
CaF2,1,12.300000,8.10004983,0.04911323
CaF2,1,12.400000,8.13217162,0.03590769
CaF2,1,12.500000,8.27023802,0.00264472
CaF2,1,12.600000,8.33184684,0.00010367
CaF2,1,12.700000,8.29346367,0.00079531
CaF2,1,12.800000,8.04143128,0.07853086
CaF2,1,12.900000,7.86547377,0.20811032
CaF2,1,13.000000,7.91026840,0.16924706
CaF2,1,13.100000,8.11777739,0.04157010
CaF2,1,13.200000,8.27995097,0.00174005
CaF2,1,13.300000,8.15245726,0.02863122
CaF2,1,13.400000,7.90273389,0.17550317
CaF2,1,13.500000,7.83261795,0.23916689
CaF2,1,13.600000,7.87935119,0.19564139
CaF2,1,13.700000,7.91110641,0.16855825
CaF2,1,13.800000,7.89827425,0.17925962
CaF2,1,13.900000,7.90457144,0.17396693
CaF2,1,14.000000,7.89147053,0.18506717
CaF2,1,14.100000,7.79200499,0.28053959
CaF2,1,14.200000,7.87375411,0.20062405
CaF2,1,14.300000,8.18166721,0.01959934
CaF2,1,14.400000,8.23862840,0.00689506
CaF2,1,14.500000,8.20215842,0.01428179
CaF2,1,14.600000,8.21824038,0.01069663
CaF2,1,14.700000,8.19356173,0.01641041
CaF2,1,14.800000,8.23479914,0.00754566
CaF2,1,14.900000,8.33334855,0.00013651
CaF2,1,15.000000,8.25484056,0.00446549
CaF2,1,15.100000,8.09318269,0.05220411
CaF2,1,15.200000,7.88602864,0.18977892
CaF2,1,15.300000,7.85992732,0.21320157
CaF2,1,15.400000,8.27231230,0.00243568
CaF2,1,15.500000,8.49680674,0.03067467
CaF2,1,15.600000,8.55556424,0.05470892
CaF2,1,15.700000,8.42940099,0.01160707
CaF2,1,15.800000,8.18408737,0.01892757
CaF2,1,15.900000,8.00511529,0.10020364
CaF2,1,16.000000,7.84571184,0.22653129
CaF2,1,16.100000,7.77340436,0.30058959
CaF2,1,16.200000,7.81781058,0.25386915
CaF2,1,16.300000,7.94073194,0.14510990
CaF2,1,16.400000,8.04231939,0.07803390
CaF2,1,16.500000,8.09015860,0.05359515
CaF2,1,16.600000,8.13260661,0.03574303
CaF2,1,16.700000,8.19158691,0.01692028
CaF2,1,16.800000,8.22603879,0.00914435
CaF2,1,16.900000,8.16865481,0.02341208
CaF2,1,17.000000,8.27815011,0.00189353
CaF2,1,17.100000,8.30324414,0.00033932
CaF2,1,17.200000,8.24258926,0.00625295
CaF2,1,17.300000,8.33203713,0.00010758
CaF2,1,17.400000,8.51985695,0.03928010
CaF2,1,17.500000,8.48004810,0.02508525
CaF2,1,17.600000,8.30358783,0.00032678
CaF2,1,17.700000,8.43524969,0.01290151
CaF2,1,17.800000,8.58500052,0.06934566
CaF2,1,17.900000,8.45154053,0.01686769
CaF2,1,18.000000,8.39788497,0.00580950
CaF2,1,18.100000,8.31128101,0.00010782
CaF2,1,18.200000,8.25911130,0.00391295
CaF2,1,18.300000,8.31390720,0.00006018
CaF2,1,18.400000,8.27894317,0.00182514
CaF2,1,18.500000,8.23899741,0.00683391
CaF2,1,18.600000,8.12316906,0.03940059
CaF2,1,18.700000,8.07177158,0.06244666
CaF2,1,18.800000,8.15753966,0.02693708
CaF2,1,18.900000,8.26844553,0.00283230
CaF2,1,19.000000,8.37486076,0.00282980
CaF2,1,19.100000,8.30886090,0.00016394
CaF2,1,19.200000,8.07549422,0.06059999
CaF2,1,19.300000,8.04938651,0.07413551
CaF2,1,19.400000,7.97251055,0.12190874
CaF2,1,19.500000,8.09983225,0.04920971
CaF2,1,19.600000,8.22349257,0.00963780
CaF2,1,19.700000,8.19002858,0.01732811
CaF2,1,19.800000,8.21258581,0.01189824
CaF2,1,19.900000,8.08267883,0.05711433
CaF2,1,20.000000,7.91860190,0.16245976
CaF2,1,20.100000,8.15576683,0.02752216
CaF2,1,20.200000,8.47196452,0.02258998
CaF2,1,20.300000,8.34674368,0.00062895
CaF2,1,20.400000,8.17990895,0.02009474
CaF2,1,20.500000,8.21888208,0.01056430
CaF2,1,20.600000,8.22927230,0.00853639
CaF2,1,20.700000,8.18175051,0.01957603
CaF2,1,20.800000,8.28100094,0.00165356
CaF2,1,20.900000,8.36570439,0.00193948
CaF2,1,21.000000,8.27637999,0.00205072
CaF2,1,21.100000,8.22115872,0.01010149
CaF2,1,21.200000,8.22506612,0.00933132
CaF2,1,21.300000,8.22294967,0.00974469
CaF2,1,21.400000,8.19494892,0.01605693
CaF2,1,21.500000,8.20061725,0.01465253
CaF2,1,21.600000,8.11108099,0.04434557
CaF2,1,21.700000,7.94833497,0.13937521
CaF2,1,21.800000,7.92647893,0.15617193
CaF2,1,21.900000,8.17183344,0.02244946
CaF2,1,22.000000,8.32571024,0.00001637
CaF2,1,22.100000,8.30058786,0.00044424
CaF2,1,22.200000,8.25022610,0.00510350
CaF2,1,22.300000,8.17563847,0.02132371
CaF2,1,22.400000,7.97570869,0.11968568
CaF2,1,22.500000,8.03783284,0.08056062
CaF2,1,22.600000,8.18228022,0.01942808
CaF2,1,22.700000,8.29028351,0.00098479
CaF2,1,22.800000,8.21565867,0.01123731
CaF2,1,22.900000,8.04622231,0.07586860
CaF2,1,23.000000,8.26357673,0.00337423
CaF2,1,23.100000,8.22602587,0.00914682
CaF2,1,23.200000,7.96005796,0.13075956
CaF2,1,23.300000,7.89304430,0.18371559
CaF2,1,23.400000,7.98381881,0.11413996
CaF2,1,23.500000,8.18787586,0.01789950
CaF2,1,23.600000,8.30357249,0.00032733
CaF2,1,23.700000,8.28354908,0.00145281
CaF2,1,23.800000,8.34514526,0.00055133
CaF2,1,23.900000,8.20309339,0.01405920
CaF2,1,24.000000,7.99350048,0.10769187
CaF2,1,24.100000,7.94716350,0.14025128
CaF2,1,24.200000,7.96049189,0.13044592
CaF2,1,24.300000,7.99832611,0.10454795
CaF2,1,24.400000,8.20946276,0.01258931
CaF2,1,24.500000,8.28850980,0.00109926
CaF2,1,24.600000,8.16320299,0.02511017
CaF2,1,24.700000,7.89756405,0.17986151
CaF2,1,24.800000,7.82687469,0.24481732
CaF2,1,24.900000,7.94246433,0.14379305
CaF2,1,25.000000,8.18640412,0.01829547
CaF2,1,25.100000,8.11905657,0.04105012
CaF2,1,25.200000,7.89391847,0.18296698
CaF2,1,25.300000,7.91735131,0.16346945
CaF2,1,25.400000,8.07743551,0.05964798
CaF2,1,25.500000,8.19260022,0.01665768
CaF2,1,25.600000,8.46029018,0.01921698
CaF2,1,25.700000,8.40898895,0.00762549
CaF2,1,25.800000,8.20907815,0.01267577
CaF2,1,25.900000,8.16912889,0.02326723
CaF2,1,26.000000,8.30701554,0.00021460
CaF2,1,26.100000,8.25142868,0.00493312
CaF2,1,26.200000,8.02149823,0.09010001
CaF2,1,26.300000,8.10623572,0.04640972
CaF2,1,26.400000,8.28409107,0.00141179
CaF2,1,26.500000,8.20101488,0.01455642
CaF2,1,26.600000,8.16659900,0.02404542
CaF2,1,26.700000,8.05343807,0.07194562
CaF2,1,26.800000,7.94296040,0.14341708
CaF2,1,26.900000,7.99597284,0.10607530
CaF2,1,27.000000,8.26480883,0.00323261
CaF2,1,27.100000,8.44323605,0.01477955
CaF2,1,27.200000,8.28309959,0.00148728
CaF2,1,27.300000,7.99927000,0.10393845
CaF2,1,27.400000,7.85202481,0.22056179
CaF2,1,27.500000,7.89015274,0.18620272
CaF2,1,27.600000,8.04394113,0.07713048
CaF2,1,27.700000,8.20485706,0.01364406
CaF2,1,27.800000,8.27170603,0.00249589
CaF2,1,27.900000,8.22376909,0.00958358
CaF2,1,28.000000,7.99934976,0.10388703
