system,layer,relative_depth,tetrahedral_q_mean,tetrahedral_q_SEM_50x10ps,P2_mean,P2_SEM_50x10ps
CaF2,1,0.041666666666666664,0.6920237905366352,0.004373291643357862,-0.07663719269852154,0.004379176906243017
CaF2,2,0.125,0.8664146669303111,0.0014577459354478445,0.11711438215555962,0.009984597840338942
CaF2,3,0.20833333333333334,0.8738108670818932,0.0017930081168468714,-0.04623630192735325,0.00609669431340355
CaF2,4,0.2916666666666667,0.8527557311892829,0.004730976607104105,-0.006432862247434074,0.004561934551607348
CaF2,5,0.375,0.8670944455707814,0.0032876689322943694,-0.09461366922556216,0.0047793717769353
CaF2,6,0.4583333333333333,0.862427869492758,0.0028521523772635426,0.02630952300353825,0.006437401958697265
CaF2,7,0.5416666666666666,0.8790531993505908,0.004189052185000423,-0.011226789725413607,0.009284784222648945
CaF2,8,0.625,0.866281289506816,0.004549022436549439,0.0023507452392400492,0.0047348970687377725
CaF2,9,0.7083333333333334,0.8415535107601215,0.003729858827726751,0.21965754385188802,0.009079643704086034
CaF2,10,0.7916666666666666,0.8632991489615446,0.0019535604097507086,-0.0372471928085821,0.010780097757771218
CaF2,11,0.875,0.7985252469645856,0.004402233615799653,-0.21310065565281555,0.009631585054086005
CaF2,12,0.9583333333333334,0.4293052458049669,0.005289411052867897,-0.11960065142839531,0.011986800332902503
Oil,1,0.041666666666666664,0.4994086490553918,0.013042663574710489,0.03147668522461266,0.018769638670871558
Oil,2,0.125,0.8246101071315625,0.0031423260402234825,-0.013483865502448358,0.009823105125684645
Oil,3,0.20833333333333334,0.8320224496226888,0.0022103624931280913,-0.3084115927464307,0.0020642971326909738
Oil,4,0.2916666666666667,0.8396135507173867,0.0015727351684227495,-0.244854805988009,0.00335376683192364
Oil,5,0.375,0.8280313329575332,0.002364939627682981,0.05614818244059925,0.009471579249108042
Oil,6,0.4583333333333333,0.8216024095999895,0.0011830164572344322,-0.05036096210606595,0.0032015054464614922
Oil,7,0.5416666666666666,0.8316476686407089,0.0025614161632408414,-0.05407141682582532,0.009400180824659606
Oil,8,0.625,0.8112138878633738,0.0014643560680882572,0.1560519415123376,0.0031019262999697583
Oil,9,0.7083333333333334,0.8477652623251175,0.0022535842627501614,-0.08207092508576486,0.006342431407492802
Oil,10,0.7916666666666666,0.8194175010601319,0.0008523003599263389,0.25563614109940025,0.0021705303876203602
Oil,11,0.875,0.838718405947954,0.0009485959788456111,0.015903979198871942,0.0025998947702535534
Oil,12,0.9583333333333334,0.8917628815872903,0.001657742896822099,0.05649443931674592,0.0016212469163672564
SiO2,1,0.023809523809523808,-0.7374723070715937,0.020317256564787816,0.8768330068039031,0.005258725648857172
SiO2,2,0.07142857142857142,0.3744124126909154,0.015246597761977952,-0.02866417262304489,0.015018084812385816
SiO2,3,0.11904761904761904,0.6603141296858531,0.004257345453983024,-0.010902295888698437,0.013139340944272604
SiO2,4,0.16666666666666666,0.7920251246161193,0.004439711537017534,-0.06489083143558745,0.009051422243668181
SiO2,5,0.21428571428571427,0.8605308250476753,0.003150111294933503,0.214348178390251,0.009457086149302489
SiO2,6,0.2619047619047619,0.8612351232984099,0.0020384175111845884,-0.009706435579337876,0.01179795242807914
SiO2,7,0.30952380952380953,0.8758445814727682,0.0021717005207981363,-0.1595682499039904,0.010543097608448309
SiO2,8,0.35714285714285715,0.871192795204731,0.003357581374426393,-0.03306729325339931,0.0035492967678354315
SiO2,9,0.40476190476190477,0.8856692977863235,0.0024581612699690987,0.16329549668465565,0.012115840118963092
SiO2,10,0.4523809523809524,0.8596238482562706,0.0041887363334137265,0.05323220740342562,0.008272248105594321
SiO2,11,0.5,0.8627168939703677,0.0045760408595077896,-0.1557092915235747,0.005632471704840926
SiO2,12,0.5476190476190477,0.8486238763003072,0.003636038047753087,-0.04791128237667799,0.01109447713057806
SiO2,13,0.5952380952380952,0.8600858445259402,0.00242797428427605,-0.1467444200819032,0.00962088312970326
SiO2,14,0.6428571428571429,0.8589184383826329,0.002801536460579294,0.02333790932620678,0.008364455235116645
SiO2,15,0.6904761904761905,0.8325485334997752,0.0025932093247262047,0.03481280604804917,0.015612394828025154
SiO2,16,0.7380952380952381,0.8681749717673045,0.002361801996817672,0.015275441814831843,0.007737935436258315
SiO2,17,0.7857142857142857,0.8497110772198826,0.0026634326899211487,-0.17422406057124287,0.005137217287172539
SiO2,18,0.8333333333333334,0.8743690666484492,0.003377346028055292,0.09684800028761079,0.014961716834077543
SiO2,19,0.8809523809523809,0.8624469849702792,0.004087856803397346,-0.052592629467560915,0.008295937805810031
SiO2,20,0.9285714285714286,0.6705251835530501,0.006886600219933261,0.09219151313924023,0.013927742352317161
SiO2,21,0.9761904761904762,0.20040436218766924,0.013439637173340173,-0.20670479117667573,0.007472337042962846
