system,block_10ps,central_relative_depth_tetrahedral_q,central_relative_depth_translation_20_300cm-1_cross_to_self
CaF2,1,0.8247827445658543,-0.09781370847183224
CaF2,2,0.8232906050896557,-0.08508426814318862
CaF2,3,0.8387404040458974,-0.11310476603861654
CaF2,4,0.8303508818577421,-0.07788218792960958
CaF2,5,0.8374428929871949,-0.006609176650541886
CaF2,6,0.8388420506246587,-0.07440066321774377
CaF2,7,0.8490261775701581,-0.04585547171398139
CaF2,8,0.8456229476082127,-0.005990438271078337
CaF2,9,0.8413240360656671,0.04632236040973395
CaF2,10,0.8431302171576005,-0.05445433721426982
CaF2,11,0.8429320109595757,0.012419301456671996
CaF2,12,0.8455001234621111,-0.07531291806705005
CaF2,13,0.858476262547115,-0.015751186209283355
CaF2,14,0.8634303500715433,0.007677948525554978
CaF2,15,0.8653344421367257,-0.017571297851741757
CaF2,16,0.862112989746626,-0.10692206469530097
CaF2,17,0.8591172724545849,-0.027387926270412553
CaF2,18,0.8613755014480536,-0.09949048353755356
CaF2,19,0.8624553276631031,-0.045313450363008725
CaF2,20,0.8627671452937663,0.04850424099197248
CaF2,21,0.8679430451589302,0.019095616233012543
CaF2,22,0.8741054238791504,0.0026076363389068206
CaF2,23,0.873912353475066,-0.15089477436757776
CaF2,24,0.8734334909900504,-0.0907735665036336
CaF2,25,0.8704219570297959,-0.09691926949567155
CaF2,26,0.8765966058053972,-0.04734160441537882
CaF2,27,0.8736012131178286,-0.09916932602097502
CaF2,28,0.8678999523996644,-0.06382773453777425
CaF2,29,0.868233257889615,-0.07878698735520645
CaF2,30,0.8686423162790009,-0.04455721874152653
CaF2,31,0.8719156919894641,-0.09356889260004368
CaF2,32,0.8673032980780327,-0.10579389037952341
CaF2,33,0.8697389868531755,-0.12627991127932678
CaF2,34,0.8773791733043749,0.04494020944986043
CaF2,35,0.8745169267852926,-0.0974311525031513
CaF2,36,0.8736420984154133,0.0467431626899086
CaF2,37,0.8799432845952134,-0.07706292738564617
CaF2,38,0.873501444890103,0.006012603082710082
CaF2,39,0.8740171921956389,-0.05310171551242754
CaF2,40,0.8751487091957075,-0.0013141304447939774
CaF2,41,0.8778336226698883,-0.06536752843983977
CaF2,42,0.8743552608647958,-0.1576894950514235
CaF2,43,0.8763413461517273,-0.0529188027644362
CaF2,44,0.8787058462586572,-0.0770741473486233
CaF2,45,0.8708637475636665,-0.1042989087782277
CaF2,46,0.8737226552434573,-0.06324574888528137
CaF2,47,0.8741221851668669,-0.030267590578825807
CaF2,48,0.8694350321708504,-0.04041753023200405
CaF2,49,0.8742278311881502,-0.07449257349462804
CaF2,50,0.8714419663993423,0.010346509864810232
Oil,1,0.8276243573989606,0.18285229014295434
Oil,2,0.8281505493701117,0.11658991933025849
Oil,3,0.8280002955757021,0.20015273170138764
Oil,4,0.8323482392672882,0.03705080852629545
Oil,5,0.8303633679234169,0.13006551846389244
Oil,6,0.8305525240322973,0.19368058869455176
Oil,7,0.8283963431319188,0.2048433928965617
Oil,8,0.8267198766165152,0.05258890150908458
Oil,9,0.8242289057239431,0.12290934466666925
Oil,10,0.8299071115573714,0.15776399457246643
Oil,11,0.8291583735990232,0.061426047011367294
Oil,12,0.8274290345524029,0.13741625035733077
Oil,13,0.8284372206514028,0.04033128327318058
Oil,14,0.822568121942914,0.11639509470458394
Oil,15,0.8229561149681461,0.11595770618500316
Oil,16,0.82152168537821,0.1284517648759909
Oil,17,0.8179310800281263,0.06985976380526031
Oil,18,0.8189420171852082,0.08371409180586739
Oil,19,0.8171981304115633,0.009807165317055609
Oil,20,0.8214829357481176,0.2120824627772868
Oil,21,0.8240998431191304,0.06936230567426226
Oil,22,0.8249769720956782,0.22242399558707807
Oil,23,0.8247073423050972,0.1649372888436606
Oil,24,0.8208921983239367,0.10208011738219065
Oil,25,0.8230606240082369,0.23118877642853586
Oil,26,0.8225937373247266,0.12098283771779865
Oil,27,0.827880247403929,0.21189604292966238
Oil,28,0.8284980419020852,0.06827374435816515
Oil,29,0.8240065142411399,0.18666304551188123
Oil,30,0.825037250488593,0.14535239355568902
Oil,31,0.8266621046265735,0.14080611963783787
