observable,n_points,unit,RMSE,R_squared_linear_fit,slope,intercept
energy,403,eV/atom,9.440430195254711e-05,0.9981813170791557,0.9981127057558249,-3.004097499021764e-16
force,316758,eV/angstrom,0.015175200629495794,0.9995555136739825,0.9993668631673617,5.423608134384366e-06
